x	y	z	wkt_geom
3	6	11	"Polygon((-90 -15,-60 -15,-60 0,-90 0,-90 -15))"
4	6	11	"Polygon((-60 -15,-30 -15,-30 0,-60 0,-60 -15))"
5	6	11	"Polygon((-30 -15,0 -15,0 0,-30 0,-30 -15))"
6	6	11	"Polygon((0 -15,30 -15,30 0,0 0,0 -15))"
7	6	11	"Polygon((30 -15,60 -15,60 0,30 0,30 -15))"
8	6	11	"Polygon((60 -15,90 -15,90 0,60 0,60 -15))"
9	6	11	"Polygon((90 -15,120 -15,120 0,90 0,90 -15))"
10	6	11	"Polygon((120 -15,150 -15,150 0,120 0,120 -15))"
11	6	11	"Polygon((150 -15,180 -15,180 0,150 0,150 -15))"
0	7	11	"Polygon((-180 -30,-150 -30,-150 -15,-180 -15,-180 -30))"
1	7	11	"Polygon((-150 -30,-120 -30,-120 -15,-150 -15,-150 -30))"
2	7	11	"Polygon((-120 -30,-90 -30,-90 -15,-120 -15,-120 -30))"
3	7	11	"Polygon((-90 -30,-60 -30,-60 -15,-90 -15,-90 -30))"
4	7	11	"Polygon((-60 -30,-30 -30,-30 -15,-60 -15,-60 -30))"
5	7	11	"Polygon((-30 -30,0 -30,0 -15,-30 -15,-30 -30))"
6	7	11	"Polygon((0 -30,30 -30,30 -15,0 -15,0 -30))"
7	7	11	"Polygon((30 -30,60 -30,60 -15,30 -15,30 -30))"
8	7	11	"Polygon((60 -30,90 -30,90 -15,60 -15,60 -30))"
9	7	11	"Polygon((90 -30,120 -30,120 -15,90 -15,90 -30))"
10	7	11	"Polygon((120 -30,150 -30,150 -15,120 -15,120 -30))"
11	7	11	"Polygon((150 -30,180 -30,180 -15,150 -15,150 -30))"
0	8	11	"Polygon((-180 -45,-150 -45,-150 -30,-180 -30,-180 -45))"
1	8	11	"Polygon((-150 -45,-120 -45,-120 -30,-150 -30,-150 -45))"
2	8	11	"Polygon((-120 -45,-90 -45,-90 -30,-120 -30,-120 -45))"
3	8	11	"Polygon((-90 -45,-60 -45,-60 -30,-90 -30,-90 -45))"
4	8	11	"Polygon((-60 -45,-30 -45,-30 -30,-60 -30,-60 -45))"
5	8	11	"Polygon((-30 -45,0 -45,0 -30,-30 -30,-30 -45))"
6	8	11	"Polygon((0 -45,30 -45,30 -30,0 -30,0 -45))"
7	8	11	"Polygon((30 -45,60 -45,60 -30,30 -30,30 -45))"
8	8	11	"Polygon((60 -45,90 -45,90 -30,60 -30,60 -45))"
9	8	11	"Polygon((90 -45,120 -45,120 -30,90 -30,90 -45))"
10	8	11	"Polygon((120 -45,150 -45,150 -30,120 -30,120 -45))"
11	8	11	"Polygon((150 -45,180 -45,180 -30,150 -30,150 -45))"
0	9	11	"Polygon((-180 -60,-150 -60,-150 -45,-180 -45,-180 -60))"
1	9	11	"Polygon((-150 -60,-120 -60,-120 -45,-150 -45,-150 -60))"
2	9	11	"Polygon((-120 -60,-90 -60,-90 -45,-120 -45,-120 -60))"
3	9	11	"Polygon((-90 -60,-60 -60,-60 -45,-90 -45,-90 -60))"
4	9	11	"Polygon((-60 -60,-30 -60,-30 -45,-60 -45,-60 -60))"
5	9	11	"Polygon((-30 -60,0 -60,0 -45,-30 -45,-30 -60))"
6	9	11	"Polygon((0 -60,30 -60,30 -45,0 -45,0 -60))"
7	9	11	"Polygon((30 -60,60 -60,60 -45,30 -45,30 -60))"
8	9	11	"Polygon((60 -60,90 -60,90 -45,60 -45,60 -60))"
9	9	11	"Polygon((90 -60,120 -60,120 -45,90 -45,90 -60))"
10	9	11	"Polygon((120 -60,150 -60,150 -45,120 -45,120 -60))"
11	9	11	"Polygon((150 -60,180 -60,180 -45,150 -45,150 -60))"
0	10	11	"Polygon((-180 -75,-150 -75,-150 -60,-180 -60,-180 -75))"
1	10	11	"Polygon((-150 -75,-120 -75,-120 -60,-150 -60,-150 -75))"
2	10	11	"Polygon((-120 -75,-90 -75,-90 -60,-120 -60,-120 -75))"
3	10	11	"Polygon((-90 -75,-60 -75,-60 -60,-90 -60,-90 -75))"
4	10	11	"Polygon((-60 -75,-30 -75,-30 -60,-60 -60,-60 -75))"
5	10	11	"Polygon((-30 -75,0 -75,0 -60,-30 -60,-30 -75))"
6	10	11	"Polygon((0 -75,30 -75,30 -60,0 -60,0 -75))"
7	10	11	"Polygon((30 -75,60 -75,60 -60,30 -60,30 -75))"
8	10	11	"Polygon((60 -75,90 -75,90 -60,60 -60,60 -75))"
9	10	11	"Polygon((90 -75,120 -75,120 -60,90 -60,90 -75))"
10	10	11	"Polygon((120 -75,150 -75,150 -60,120 -60,120 -75))"
11	10	11	"Polygon((150 -75,180 -75,180 -60,150 -60,150 -75))"
0	11	11	"Polygon((-180 -90,-150 -90,-150 -75,-180 -75,-180 -90))"
1	11	11	"Polygon((-150 -90,-120 -90,-120 -75,-150 -75,-150 -90))"
2	11	11	"Polygon((-120 -90,-90 -90,-90 -75,-120 -75,-120 -90))"
3	11	11	"Polygon((-90 -90,-60 -90,-60 -75,-90 -75,-90 -90))"
4	11	11	"Polygon((-60 -90,-30 -90,-30 -75,-60 -75,-60 -90))"
5	11	11	"Polygon((-30 -90,0 -90,0 -75,-30 -75,-30 -90))"
6	11	11	"Polygon((0 -90,30 -90,30 -75,0 -75,0 -90))"
7	11	11	"Polygon((30 -90,60 -90,60 -75,30 -75,30 -90))"
8	11	11	"Polygon((60 -90,90 -90,90 -75,60 -75,60 -90))"
9	11	11	"Polygon((90 -90,120 -90,120 -75,90 -75,90 -90))"
10	11	11	"Polygon((120 -90,150 -90,150 -75,120 -75,120 -90))"
11	11	11	"Polygon((150 -90,180 -90,180 -75,150 -75,150 -90))"
0	0	12	"Polygon((-180 76.1538461538462,-152.307692307692 76.1538461538462,-152.307692307692 90,-180 90,-180 76.1538461538462))"
1	0	12	"Polygon((-152.307692307692 76.1538461538462,-124.615384615385 76.1538461538462,-124.615384615385 90,-152.307692307692 90,-152.307692307692 76.1538461538462))"
2	0	12	"Polygon((-124.615384615385 76.1538461538462,-96.9230769230769 76.1538461538462,-96.9230769230769 90,-124.615384615385 90,-124.615384615385 76.1538461538462))"
3	0	12	"Polygon((-96.9230769230769 76.1538461538462,-69.2307692307692 76.1538461538462,-69.2307692307692 90,-96.9230769230769 90,-96.9230769230769 76.1538461538462))"
4	0	12	"Polygon((-69.2307692307692 76.1538461538462,-41.5384615384615 76.1538461538462,-41.5384615384615 90,-69.2307692307692 90,-69.2307692307692 76.1538461538462))"
5	0	12	"Polygon((-41.5384615384615 76.1538461538462,-13.8461538461539 76.1538461538462,-13.8461538461539 90,-41.5384615384615 90,-41.5384615384615 76.1538461538462))"
6	0	12	"Polygon((-13.8461538461538 76.1538461538462,13.8461538461539 76.1538461538462,13.8461538461539 90,-13.8461538461538 90,-13.8461538461538 76.1538461538462))"
7	0	12	"Polygon((13.8461538461539 76.1538461538462,41.5384615384616 76.1538461538462,41.5384615384616 90,13.8461538461539 90,13.8461538461539 76.1538461538462))"
8	0	12	"Polygon((41.5384615384615 76.1538461538462,69.2307692307692 76.1538461538462,69.2307692307692 90,41.5384615384615 90,41.5384615384615 76.1538461538462))"
9	0	12	"Polygon((69.2307692307692 76.1538461538462,96.9230769230769 76.1538461538462,96.9230769230769 90,69.2307692307692 90,69.2307692307692 76.1538461538462))"
10	0	12	"Polygon((96.9230769230769 76.1538461538462,124.615384615385 76.1538461538462,124.615384615385 90,96.9230769230769 90,96.9230769230769 76.1538461538462))"
11	0	12	"Polygon((124.615384615385 76.1538461538462,152.307692307692 76.1538461538462,152.307692307692 90,124.615384615385 90,124.615384615385 76.1538461538462))"
12	0	12	"Polygon((152.307692307692 76.1538461538462,180 76.1538461538462,180 90,152.307692307692 90,152.307692307692 76.1538461538462))"
0	1	12	"Polygon((-180 62.3076923076923,-152.307692307692 62.3076923076923,-152.307692307692 76.1538461538462,-180 76.1538461538462,-180 62.3076923076923))"
1	1	12	"Polygon((-152.307692307692 62.3076923076923,-124.615384615385 62.3076923076923,-124.615384615385 76.1538461538462,-152.307692307692 76.1538461538462,-152.307692307692 62.3076923076923))"
2	1	12	"Polygon((-124.615384615385 62.3076923076923,-96.9230769230769 62.3076923076923,-96.9230769230769 76.1538461538462,-124.615384615385 76.1538461538462,-124.615384615385 62.3076923076923))"
3	1	12	"Polygon((-96.9230769230769 62.3076923076923,-69.2307692307692 62.3076923076923,-69.2307692307692 76.1538461538462,-96.9230769230769 76.1538461538462,-96.9230769230769 62.3076923076923))"
4	1	12	"Polygon((-69.2307692307692 62.3076923076923,-41.5384615384615 62.3076923076923,-41.5384615384615 76.1538461538462,-69.2307692307692 76.1538461538462,-69.2307692307692 62.3076923076923))"
5	1	12	"Polygon((-41.5384615384615 62.3076923076923,-13.8461538461539 62.3076923076923,-13.8461538461539 76.1538461538462,-41.5384615384615 76.1538461538462,-41.5384615384615 62.3076923076923))"
6	1	12	"Polygon((-13.8461538461538 62.3076923076923,13.8461538461539 62.3076923076923,13.8461538461539 76.1538461538462,-13.8461538461538 76.1538461538462,-13.8461538461538 62.3076923076923))"
7	1	12	"Polygon((13.8461538461539 62.3076923076923,41.5384615384616 62.3076923076923,41.5384615384616 76.1538461538462,13.8461538461539 76.1538461538462,13.8461538461539 62.3076923076923))"
8	1	12	"Polygon((41.5384615384615 62.3076923076923,69.2307692307692 62.3076923076923,69.2307692307692 76.1538461538462,41.5384615384615 76.1538461538462,41.5384615384615 62.3076923076923))"
9	1	12	"Polygon((69.2307692307692 62.3076923076923,96.9230769230769 62.3076923076923,96.9230769230769 76.1538461538462,69.2307692307692 76.1538461538462,69.2307692307692 62.3076923076923))"
10	1	12	"Polygon((96.9230769230769 62.3076923076923,124.615384615385 62.3076923076923,124.615384615385 76.1538461538462,96.9230769230769 76.1538461538462,96.9230769230769 62.3076923076923))"
11	1	12	"Polygon((124.615384615385 62.3076923076923,152.307692307692 62.3076923076923,152.307692307692 76.1538461538462,124.615384615385 76.1538461538462,124.615384615385 62.3076923076923))"
12	1	12	"Polygon((152.307692307692 62.3076923076923,180 62.3076923076923,180 76.1538461538462,152.307692307692 76.1538461538462,152.307692307692 62.3076923076923))"
0	2	12	"Polygon((-180 48.4615384615385,-152.307692307692 48.4615384615385,-152.307692307692 62.3076923076923,-180 62.3076923076923,-180 48.4615384615385))"
1	2	12	"Polygon((-152.307692307692 48.4615384615385,-124.615384615385 48.4615384615385,-124.615384615385 62.3076923076923,-152.307692307692 62.3076923076923,-152.307692307692 48.4615384615385))"
2	2	12	"Polygon((-124.615384615385 48.4615384615385,-96.9230769230769 48.4615384615385,-96.9230769230769 62.3076923076923,-124.615384615385 62.3076923076923,-124.615384615385 48.4615384615385))"
3	2	12	"Polygon((-96.9230769230769 48.4615384615385,-69.2307692307692 48.4615384615385,-69.2307692307692 62.3076923076923,-96.9230769230769 62.3076923076923,-96.9230769230769 48.4615384615385))"
4	2	12	"Polygon((-69.2307692307692 48.4615384615385,-41.5384615384615 48.4615384615385,-41.5384615384615 62.3076923076923,-69.2307692307692 62.3076923076923,-69.2307692307692 48.4615384615385))"
5	2	12	"Polygon((-41.5384615384615 48.4615384615385,-13.8461538461539 48.4615384615385,-13.8461538461539 62.3076923076923,-41.5384615384615 62.3076923076923,-41.5384615384615 48.4615384615385))"
6	2	12	"Polygon((-13.8461538461538 48.4615384615385,13.8461538461539 48.4615384615385,13.8461538461539 62.3076923076923,-13.8461538461538 62.3076923076923,-13.8461538461538 48.4615384615385))"
7	2	12	"Polygon((13.8461538461539 48.4615384615385,41.5384615384616 48.4615384615385,41.5384615384616 62.3076923076923,13.8461538461539 62.3076923076923,13.8461538461539 48.4615384615385))"
8	2	12	"Polygon((41.5384615384615 48.4615384615385,69.2307692307692 48.4615384615385,69.2307692307692 62.3076923076923,41.5384615384615 62.3076923076923,41.5384615384615 48.4615384615385))"
9	2	12	"Polygon((69.2307692307692 48.4615384615385,96.9230769230769 48.4615384615385,96.9230769230769 62.3076923076923,69.2307692307692 62.3076923076923,69.2307692307692 48.4615384615385))"
10	2	12	"Polygon((96.9230769230769 48.4615384615385,124.615384615385 48.4615384615385,124.615384615385 62.3076923076923,96.9230769230769 62.3076923076923,96.9230769230769 48.4615384615385))"
11	2	12	"Polygon((124.615384615385 48.4615384615385,152.307692307692 48.4615384615385,152.307692307692 62.3076923076923,124.615384615385 62.3076923076923,124.615384615385 48.4615384615385))"
12	2	12	"Polygon((152.307692307692 48.4615384615385,180 48.4615384615385,180 62.3076923076923,152.307692307692 62.3076923076923,152.307692307692 48.4615384615385))"
0	3	12	"Polygon((-180 34.6153846153846,-152.307692307692 34.6153846153846,-152.307692307692 48.4615384615385,-180 48.4615384615385,-180 34.6153846153846))"
1	3	12	"Polygon((-152.307692307692 34.6153846153846,-124.615384615385 34.6153846153846,-124.615384615385 48.4615384615385,-152.307692307692 48.4615384615385,-152.307692307692 34.6153846153846))"
2	3	12	"Polygon((-124.615384615385 34.6153846153846,-96.9230769230769 34.6153846153846,-96.9230769230769 48.4615384615385,-124.615384615385 48.4615384615385,-124.615384615385 34.6153846153846))"
3	3	12	"Polygon((-96.9230769230769 34.6153846153846,-69.2307692307692 34.6153846153846,-69.2307692307692 48.4615384615385,-96.9230769230769 48.4615384615385,-96.9230769230769 34.6153846153846))"
4	3	12	"Polygon((-69.2307692307692 34.6153846153846,-41.5384615384615 34.6153846153846,-41.5384615384615 48.4615384615385,-69.2307692307692 48.4615384615385,-69.2307692307692 34.6153846153846))"
5	3	12	"Polygon((-41.5384615384615 34.6153846153846,-13.8461538461539 34.6153846153846,-13.8461538461539 48.4615384615385,-41.5384615384615 48.4615384615385,-41.5384615384615 34.6153846153846))"
6	3	12	"Polygon((-13.8461538461538 34.6153846153846,13.8461538461539 34.6153846153846,13.8461538461539 48.4615384615385,-13.8461538461538 48.4615384615385,-13.8461538461538 34.6153846153846))"
7	3	12	"Polygon((13.8461538461539 34.6153846153846,41.5384615384616 34.6153846153846,41.5384615384616 48.4615384615385,13.8461538461539 48.4615384615385,13.8461538461539 34.6153846153846))"
8	3	12	"Polygon((41.5384615384615 34.6153846153846,69.2307692307692 34.6153846153846,69.2307692307692 48.4615384615385,41.5384615384615 48.4615384615385,41.5384615384615 34.6153846153846))"
9	3	12	"Polygon((69.2307692307692 34.6153846153846,96.9230769230769 34.6153846153846,96.9230769230769 48.4615384615385,69.2307692307692 48.4615384615385,69.2307692307692 34.6153846153846))"
10	3	12	"Polygon((96.9230769230769 34.6153846153846,124.615384615385 34.6153846153846,124.615384615385 48.4615384615385,96.9230769230769 48.4615384615385,96.9230769230769 34.6153846153846))"
11	3	12	"Polygon((124.615384615385 34.6153846153846,152.307692307692 34.6153846153846,152.307692307692 48.4615384615385,124.615384615385 48.4615384615385,124.615384615385 34.6153846153846))"
12	3	12	"Polygon((152.307692307692 34.6153846153846,180 34.6153846153846,180 48.4615384615385,152.307692307692 48.4615384615385,152.307692307692 34.6153846153846))"
0	4	12	"Polygon((-180 20.7692307692308,-152.307692307692 20.7692307692308,-152.307692307692 34.6153846153846,-180 34.6153846153846,-180 20.7692307692308))"
1	4	12	"Polygon((-152.307692307692 20.7692307692308,-124.615384615385 20.7692307692308,-124.615384615385 34.6153846153846,-152.307692307692 34.6153846153846,-152.307692307692 20.7692307692308))"
2	4	12	"Polygon((-124.615384615385 20.7692307692308,-96.9230769230769 20.7692307692308,-96.9230769230769 34.6153846153846,-124.615384615385 34.6153846153846,-124.615384615385 20.7692307692308))"
3	4	12	"Polygon((-96.9230769230769 20.7692307692308,-69.2307692307692 20.7692307692308,-69.2307692307692 34.6153846153846,-96.9230769230769 34.6153846153846,-96.9230769230769 20.7692307692308))"
4	4	12	"Polygon((-69.2307692307692 20.7692307692308,-41.5384615384615 20.7692307692308,-41.5384615384615 34.6153846153846,-69.2307692307692 34.6153846153846,-69.2307692307692 20.7692307692308))"
5	4	12	"Polygon((-41.5384615384615 20.7692307692308,-13.8461538461539 20.7692307692308,-13.8461538461539 34.6153846153846,-41.5384615384615 34.6153846153846,-41.5384615384615 20.7692307692308))"
6	4	12	"Polygon((-13.8461538461538 20.7692307692308,13.8461538461539 20.7692307692308,13.8461538461539 34.6153846153846,-13.8461538461538 34.6153846153846,-13.8461538461538 20.7692307692308))"
7	4	12	"Polygon((13.8461538461539 20.7692307692308,41.5384615384616 20.7692307692308,41.5384615384616 34.6153846153846,13.8461538461539 34.6153846153846,13.8461538461539 20.7692307692308))"
8	4	12	"Polygon((41.5384615384615 20.7692307692308,69.2307692307692 20.7692307692308,69.2307692307692 34.6153846153846,41.5384615384615 34.6153846153846,41.5384615384615 20.7692307692308))"
9	4	12	"Polygon((69.2307692307692 20.7692307692308,96.9230769230769 20.7692307692308,96.9230769230769 34.6153846153846,69.2307692307692 34.6153846153846,69.2307692307692 20.7692307692308))"
10	4	12	"Polygon((96.9230769230769 20.7692307692308,124.615384615385 20.7692307692308,124.615384615385 34.6153846153846,96.9230769230769 34.6153846153846,96.9230769230769 20.7692307692308))"
11	4	12	"Polygon((124.615384615385 20.7692307692308,152.307692307692 20.7692307692308,152.307692307692 34.6153846153846,124.615384615385 34.6153846153846,124.615384615385 20.7692307692308))"
12	4	12	"Polygon((152.307692307692 20.7692307692308,180 20.7692307692308,180 34.6153846153846,152.307692307692 34.6153846153846,152.307692307692 20.7692307692308))"
0	5	12	"Polygon((-180 6.92307692307693,-152.307692307692 6.92307692307693,-152.307692307692 20.7692307692308,-180 20.7692307692308,-180 6.92307692307693))"
1	5	12	"Polygon((-152.307692307692 6.92307692307693,-124.615384615385 6.92307692307693,-124.615384615385 20.7692307692308,-152.307692307692 20.7692307692308,-152.307692307692 6.92307692307693))"
2	5	12	"Polygon((-124.615384615385 6.92307692307693,-96.9230769230769 6.92307692307693,-96.9230769230769 20.7692307692308,-124.615384615385 20.7692307692308,-124.615384615385 6.92307692307693))"
3	5	12	"Polygon((-96.9230769230769 6.92307692307693,-69.2307692307692 6.92307692307693,-69.2307692307692 20.7692307692308,-96.9230769230769 20.7692307692308,-96.9230769230769 6.92307692307693))"
4	5	12	"Polygon((-69.2307692307692 6.92307692307693,-41.5384615384615 6.92307692307693,-41.5384615384615 20.7692307692308,-69.2307692307692 20.7692307692308,-69.2307692307692 6.92307692307693))"
5	5	12	"Polygon((-41.5384615384615 6.92307692307693,-13.8461538461539 6.92307692307693,-13.8461538461539 20.7692307692308,-41.5384615384615 20.7692307692308,-41.5384615384615 6.92307692307693))"
6	5	12	"Polygon((-13.8461538461538 6.92307692307693,13.8461538461539 6.92307692307693,13.8461538461539 20.7692307692308,-13.8461538461538 20.7692307692308,-13.8461538461538 6.92307692307693))"
7	5	12	"Polygon((13.8461538461539 6.92307692307693,41.5384615384616 6.92307692307693,41.5384615384616 20.7692307692308,13.8461538461539 20.7692307692308,13.8461538461539 6.92307692307693))"
8	5	12	"Polygon((41.5384615384615 6.92307692307693,69.2307692307692 6.92307692307693,69.2307692307692 20.7692307692308,41.5384615384615 20.7692307692308,41.5384615384615 6.92307692307693))"
9	5	12	"Polygon((69.2307692307692 6.92307692307693,96.9230769230769 6.92307692307693,96.9230769230769 20.7692307692308,69.2307692307692 20.7692307692308,69.2307692307692 6.92307692307693))"
10	5	12	"Polygon((96.9230769230769 6.92307692307693,124.615384615385 6.92307692307693,124.615384615385 20.7692307692308,96.9230769230769 20.7692307692308,96.9230769230769 6.92307692307693))"
11	5	12	"Polygon((124.615384615385 6.92307692307693,152.307692307692 6.92307692307693,152.307692307692 20.7692307692308,124.615384615385 20.7692307692308,124.615384615385 6.92307692307693))"
12	5	12	"Polygon((152.307692307692 6.92307692307693,180 6.92307692307693,180 20.7692307692308,152.307692307692 20.7692307692308,152.307692307692 6.92307692307693))"
0	6	12	"Polygon((-180 -6.92307692307693,-152.307692307692 -6.92307692307693,-152.307692307692 6.92307692307692,-180 6.92307692307692,-180 -6.92307692307693))"
1	6	12	"Polygon((-152.307692307692 -6.92307692307693,-124.615384615385 -6.92307692307693,-124.615384615385 6.92307692307692,-152.307692307692 6.92307692307692,-152.307692307692 -6.92307692307693))"
2	6	12	"Polygon((-124.615384615385 -6.92307692307693,-96.9230769230769 -6.92307692307693,-96.9230769230769 6.92307692307692,-124.615384615385 6.92307692307692,-124.615384615385 -6.92307692307693))"
3	6	12	"Polygon((-96.9230769230769 -6.92307692307693,-69.2307692307692 -6.92307692307693,-69.2307692307692 6.92307692307692,-96.9230769230769 6.92307692307692,-96.9230769230769 -6.92307692307693))"
4	6	12	"Polygon((-69.2307692307692 -6.92307692307693,-41.5384615384615 -6.92307692307693,-41.5384615384615 6.92307692307692,-69.2307692307692 6.92307692307692,-69.2307692307692 -6.92307692307693))"
5	6	12	"Polygon((-41.5384615384615 -6.92307692307693,-13.8461538461539 -6.92307692307693,-13.8461538461539 6.92307692307692,-41.5384615384615 6.92307692307692,-41.5384615384615 -6.92307692307693))"
6	6	12	"Polygon((-13.8461538461538 -6.92307692307693,13.8461538461539 -6.92307692307693,13.8461538461539 6.92307692307692,-13.8461538461538 6.92307692307692,-13.8461538461538 -6.92307692307693))"
7	6	12	"Polygon((13.8461538461539 -6.92307692307693,41.5384615384616 -6.92307692307693,41.5384615384616 6.92307692307692,13.8461538461539 6.92307692307692,13.8461538461539 -6.92307692307693))"
8	6	12	"Polygon((41.5384615384615 -6.92307692307693,69.2307692307692 -6.92307692307693,69.2307692307692 6.92307692307692,41.5384615384615 6.92307692307692,41.5384615384615 -6.92307692307693))"
9	6	12	"Polygon((69.2307692307692 -6.92307692307693,96.9230769230769 -6.92307692307693,96.9230769230769 6.92307692307692,69.2307692307692 6.92307692307692,69.2307692307692 -6.92307692307693))"
10	6	12	"Polygon((96.9230769230769 -6.92307692307693,124.615384615385 -6.92307692307693,124.615384615385 6.92307692307692,96.9230769230769 6.92307692307692,96.9230769230769 -6.92307692307693))"
11	6	12	"Polygon((124.615384615385 -6.92307692307693,152.307692307692 -6.92307692307693,152.307692307692 6.92307692307692,124.615384615385 6.92307692307692,124.615384615385 -6.92307692307693))"
12	6	12	"Polygon((152.307692307692 -6.92307692307693,180 -6.92307692307693,180 6.92307692307692,152.307692307692 6.92307692307692,152.307692307692 -6.92307692307693))"
0	7	12	"Polygon((-180 -20.7692307692308,-152.307692307692 -20.7692307692308,-152.307692307692 -6.92307692307693,-180 -6.92307692307693,-180 -20.7692307692308))"
1	7	12	"Polygon((-152.307692307692 -20.7692307692308,-124.615384615385 -20.7692307692308,-124.615384615385 -6.92307692307693,-152.307692307692 -6.92307692307693,-152.307692307692 -20.7692307692308))"
2	7	12	"Polygon((-124.615384615385 -20.7692307692308,-96.9230769230769 -20.7692307692308,-96.9230769230769 -6.92307692307693,-124.615384615385 -6.92307692307693,-124.615384615385 -20.7692307692308))"
3	7	12	"Polygon((-96.9230769230769 -20.7692307692308,-69.2307692307692 -20.7692307692308,-69.2307692307692 -6.92307692307693,-96.9230769230769 -6.92307692307693,-96.9230769230769 -20.7692307692308))"
4	7	12	"Polygon((-69.2307692307692 -20.7692307692308,-41.5384615384615 -20.7692307692308,-41.5384615384615 -6.92307692307693,-69.2307692307692 -6.92307692307693,-69.2307692307692 -20.7692307692308))"
5	7	12	"Polygon((-41.5384615384615 -20.7692307692308,-13.8461538461539 -20.7692307692308,-13.8461538461539 -6.92307692307693,-41.5384615384615 -6.92307692307693,-41.5384615384615 -20.7692307692308))"
6	7	12	"Polygon((-13.8461538461538 -20.7692307692308,13.8461538461539 -20.7692307692308,13.8461538461539 -6.92307692307693,-13.8461538461538 -6.92307692307693,-13.8461538461538 -20.7692307692308))"
7	7	12	"Polygon((13.8461538461539 -20.7692307692308,41.5384615384616 -20.7692307692308,41.5384615384616 -6.92307692307693,13.8461538461539 -6.92307692307693,13.8461538461539 -20.7692307692308))"
8	7	12	"Polygon((41.5384615384615 -20.7692307692308,69.2307692307692 -20.7692307692308,69.2307692307692 -6.92307692307693,41.5384615384615 -6.92307692307693,41.5384615384615 -20.7692307692308))"
9	7	12	"Polygon((69.2307692307692 -20.7692307692308,96.9230769230769 -20.7692307692308,96.9230769230769 -6.92307692307693,69.2307692307692 -6.92307692307693,69.2307692307692 -20.7692307692308))"
10	7	12	"Polygon((96.9230769230769 -20.7692307692308,124.615384615385 -20.7692307692308,124.615384615385 -6.92307692307693,96.9230769230769 -6.92307692307693,96.9230769230769 -20.7692307692308))"
11	7	12	"Polygon((124.615384615385 -20.7692307692308,152.307692307692 -20.7692307692308,152.307692307692 -6.92307692307693,124.615384615385 -6.92307692307693,124.615384615385 -20.7692307692308))"
12	7	12	"Polygon((152.307692307692 -20.7692307692308,180 -20.7692307692308,180 -6.92307692307693,152.307692307692 -6.92307692307693,152.307692307692 -20.7692307692308))"
0	8	12	"Polygon((-180 -34.6153846153846,-152.307692307692 -34.6153846153846,-152.307692307692 -20.7692307692308,-180 -20.7692307692308,-180 -34.6153846153846))"
1	8	12	"Polygon((-152.307692307692 -34.6153846153846,-124.615384615385 -34.6153846153846,-124.615384615385 -20.7692307692308,-152.307692307692 -20.7692307692308,-152.307692307692 -34.6153846153846))"
2	8	12	"Polygon((-124.615384615385 -34.6153846153846,-96.9230769230769 -34.6153846153846,-96.9230769230769 -20.7692307692308,-124.615384615385 -20.7692307692308,-124.615384615385 -34.6153846153846))"
3	8	12	"Polygon((-96.9230769230769 -34.6153846153846,-69.2307692307692 -34.6153846153846,-69.2307692307692 -20.7692307692308,-96.9230769230769 -20.7692307692308,-96.9230769230769 -34.6153846153846))"
4	8	12	"Polygon((-69.2307692307692 -34.6153846153846,-41.5384615384615 -34.6153846153846,-41.5384615384615 -20.7692307692308,-69.2307692307692 -20.7692307692308,-69.2307692307692 -34.6153846153846))"
5	8	12	"Polygon((-41.5384615384615 -34.6153846153846,-13.8461538461539 -34.6153846153846,-13.8461538461539 -20.7692307692308,-41.5384615384615 -20.7692307692308,-41.5384615384615 -34.6153846153846))"
6	8	12	"Polygon((-13.8461538461538 -34.6153846153846,13.8461538461539 -34.6153846153846,13.8461538461539 -20.7692307692308,-13.8461538461538 -20.7692307692308,-13.8461538461538 -34.6153846153846))"
7	8	12	"Polygon((13.8461538461539 -34.6153846153846,41.5384615384616 -34.6153846153846,41.5384615384616 -20.7692307692308,13.8461538461539 -20.7692307692308,13.8461538461539 -34.6153846153846))"
8	8	12	"Polygon((41.5384615384615 -34.6153846153846,69.2307692307692 -34.6153846153846,69.2307692307692 -20.7692307692308,41.5384615384615 -20.7692307692308,41.5384615384615 -34.6153846153846))"
9	8	12	"Polygon((69.2307692307692 -34.6153846153846,96.9230769230769 -34.6153846153846,96.9230769230769 -20.7692307692308,69.2307692307692 -20.7692307692308,69.2307692307692 -34.6153846153846))"
10	8	12	"Polygon((96.9230769230769 -34.6153846153846,124.615384615385 -34.6153846153846,124.615384615385 -20.7692307692308,96.9230769230769 -20.7692307692308,96.9230769230769 -34.6153846153846))"
11	8	12	"Polygon((124.615384615385 -34.6153846153846,152.307692307692 -34.6153846153846,152.307692307692 -20.7692307692308,124.615384615385 -20.7692307692308,124.615384615385 -34.6153846153846))"
12	8	12	"Polygon((152.307692307692 -34.6153846153846,180 -34.6153846153846,180 -20.7692307692308,152.307692307692 -20.7692307692308,152.307692307692 -34.6153846153846))"
0	9	12	"Polygon((-180 -48.4615384615385,-152.307692307692 -48.4615384615385,-152.307692307692 -34.6153846153846,-180 -34.6153846153846,-180 -48.4615384615385))"
1	9	12	"Polygon((-152.307692307692 -48.4615384615385,-124.615384615385 -48.4615384615385,-124.615384615385 -34.6153846153846,-152.307692307692 -34.6153846153846,-152.307692307692 -48.4615384615385))"
2	9	12	"Polygon((-124.615384615385 -48.4615384615385,-96.9230769230769 -48.4615384615385,-96.9230769230769 -34.6153846153846,-124.615384615385 -34.6153846153846,-124.615384615385 -48.4615384615385))"
